Topic,Count,Percentage,Topic Label (to be filled in by reviewer),Representation,KeyBERTInspired,PartOfSpeech,MaximalMarginalRelevance,Top Documents,quick fix,slow fix,hot topic,first time,easy fix,hard fix,reason,result type,answer,phase,user/developer,related tools,Kadiray,Miao,agree
81,66,0.004957187922,Build System,"['instal', 'instal current', 'current version', 'version note', 'opam', 'current', 'note', 'install', 'version', 'ocaml']","['ocaml version', 'distribute ocaml', 'opam install', 'ocamlfind', 'ocaml', 'ocamlbuild', 'opam version', 'build', 'compiler', 'camlp4']","['current version', 'instal', 'opam', 'current', 'note', 'ocaml', 'version', 'install', 'conf', 'atdgen']","['version note', 'ocaml', 'distribute ocaml', 'ocamlfind', 'ocaml version', 'javalib', 'build', 'opam install', 'configure', 'yojson']","https://github.com/facebook/infer/issues/1030
https://github.com/facebook/infer/issues/1258
https://github.com/facebook/infer/issues/715
https://github.com/facebook/infer/issues/293
https://github.com/facebook/infer/issues/830",14,6,6,0,1,0,,,,,,"facebook/infer (54)
secure-software-engineering/phasar (6)
wala/WALA (1)
spotbugs/spotbugs (1)
pmd/pmd (1)
secure-software-engineering/FlowDroid (1)
scottrogowski/code2flow (1)
diffblue/cbmc (1)",Build system issues,Build system issues,Y
82,76,0.005708277002,Build System,"['00', 'cc', 'line character', 'character call', 'call file', 'character', '00 39', '00 00', 'statement declstmt', 'declstmt']","['issue cc', 'gcc', 'linux gcc', 'compile', 'cc version', 'version cc', 'version cbmc', 'cc param', '39 error', 'x86_64']","['cc', 'l_true', 'l_false', 'sharing_treet', 'file', 'tree_nodet', 'version', 'gcc', 'line', 'l_true declare']","['minisat', 'std _destroy', 'minisat l_true', 'l_false 00', 'minisat l_false', 'version cc', 'tree_nodet', 'vector', 'column line', 'conversion error']","https://github.com/diffblue/cbmc/issues/6592
https://github.com/diffblue/cbmc/issues/7156
https://github.com/diffblue/cbmc/issues/8305
https://github.com/diffblue/cbmc/issues/5417
https://github.com/diffblue/cbmc/issues/6907",10,14,5,2,12,5,,,,,,"diffblue/cbmc (53)
facebook/infer (17)
secure-software-engineering/phasar (2)
phpstan/phpstan (1)
pmd/pmd (1)
spotbugs/spotbugs (1)
wala/WALA (1)",Build system issues,Build system issues,Y
83,67,0.00503229683,Unable to summarize a topic,"['internal', 'internal error', 'uncaught', 'stack trace', 'stack', 'trace', 'error uncaught', 'uncaught typeerror', 'fatal', 'fatal error']","['uncaught error', 'error uncaught', 'error internal', 'uncaught typeerror', 'error undefined', 'internal error', 'fatal error', 'error pass', 'error', 'stack trace']","['uncaught', 'typeerror', 'fatal error', 'fatal', 'trace', 'stack', 'internal', 'internal error', 'array', 'pass']","['uncaught typeerror', 'error uncaught', 'fatal error', 'stack trace', 'internal error', 'error', 'array line', 'define stack', 'line fatal', 'give stack']","https://github.com/phpstan/phpstan/issues/2200
https://github.com/phpstan/phpstan/issues/368
https://github.com/phpstan/phpstan/issues/4767
https://github.com/phpstan/phpstan/issues/3957
https://github.com/phpstan/phpstan/issues/2667",40,4,15,1,0,0,,,,,,"phpstan/phpstan (66)
soot-oss/soot (1)",Unable to summarize a topic,Unable to summarize a topic,Y
84,33,0.002478593961,Cleanup Deprecations,"['deprecate', 'deprecated', 'line deprecate', 'deprecate compatible', 'compatible mixed', 'attribute temporarily', 'suppress notice', 'temporarily suppress', 'mixed attribute', 'notice line']","['deprecation warning', 'deprecated message', 'deprecation message', 'deprecate line', 'deprecate instead', 'line deprecate', 'deprecate compatible', 'deprecated handling', 'deprecate system', 'deprecate']","['deprecate', 'mixed attribute', 'suppress notice', 'deprecation', 'suppress', 'compatible', 'notice', 'attribute', 'warning', 'securitymanager']","['deprecate', 'line deprecate', 'deprecate compatible', 'deprecation', 'line deprecated', 'mbstring deprecate', 'deprecation warning', 'mark deprecated', 'deprecate instead', 'deprecate line']","https://github.com/phpstan/phpstan/issues/6565
https://github.com/diffblue/cbmc/issues/8010
https://github.com/phpstan/phpstan/issues/2814
https://github.com/phpstan/phpstan/issues/8459
https://github.com/phpstan/phpstan/issues/6735",13,2,2,0,0,0,,,,,,"diffblue/cbmc (14)
phpstan/phpstan (13)
spotbugs/spotbugs (3)
facebook/infer (1)
pmd/pmd (1)
soot-oss/soot (1)",Cleanup deprecations,Cleanup deprecations,Y
85,45,0.003379900856,Inheritance,"['mixin', 'model', 'laravel', 'extend', 'template', 'query', 'generic', 'collection', 'work', 'builder']","['laravel eloquent', 'eloquent builder', 'collection laravel', 'laravel', 'think laravel', 'eloquentcollection', 'model eloquentcollection', 'query fails', 'output expect', 'eloquent']","['laravel', 'mixin', 'query', 'model', 'collection', 'template', 'builder', 'sitemetric', 'relation', 'relationship']","['laravel', 'collection', 'larastan', 'relation', 'report hello', 'extend model', 'eloquent', 'generic', 'mixin report', 'genericness']","https://github.com/phpstan/phpstan/issues/12585
https://github.com/phpstan/phpstan/issues/6695
https://github.com/phpstan/phpstan/issues/6798
https://github.com/phpstan/phpstan/issues/8008
https://github.com/phpstan/phpstan/issues/9449",22,3,12,0,0,0,,,,,,"phpstan/phpstan (44)
spotbugs/spotbugs (1)",Subclassing (Inheritance?),Limitation in (PHP) class feature,N
86,30,0.002253267237,Exposure Check,"['ei_expose_rep', 'ei_expose_rep2', 'immutable', 'internal representation', 'list', 'record', 'myrecord', 'expose', 'representation', 'expose internal']","['field ei_expose_rep', 'report ei_expose_rep2', 'ei_expose_rep ei_expose_rep2', 'ei_expose_rep2', 'report ei_expose_rep', 'ei_expose_rep', 'positive ei_expose_rep', 'ei_expose_rep positive', 'field accessor', 'myrecord java']","['ei_expose_rep', 'immutable', 'record', 'myrecord', 'internal representation', 'representation', 'list', 'falsepositive', 'transition', 'ms_expose_rep']","['ei_expose_rep2', 'immutable', 'myrecord', 'internal representation', 'ei_expose_rep ei_expose_rep2', 'positive ei_expose_rep', 'example myrecord', 'transition transition', 'myrecord java', 'myrecord myrecord']","https://github.com/spotbugs/spotbugs/issues/1653
https://github.com/spotbugs/spotbugs/issues/1797
https://github.com/spotbugs/spotbugs/issues/3023
https://github.com/spotbugs/spotbugs/issues/2117
https://github.com/spotbugs/spotbugs/issues/3471",2,9,9,0,1,0,,,,,,"spotbugs/spotbugs (25)
pmd/pmd (4)
phpstan/phpstan (1)",Exposure check,"Exposure check issues (detect when a class exposes its internal mutable state, especially through public methods or fields)",Y
87,48,0.00360522758,Callables,"['callable', 'callback', 'array', 'array callable', 'callable array', 'is_callable', 'callable report', 'expect', 'report', 'problem']","['array callable', 'callable array', 'is_callable array', 'callablearray', 'callableint array', 'expect callableint', 'expect callablestring', 'callable expect', 'problem callable', 'callback array']","['callable', 'callback', 'array', 'is_callable', 'callable array', 'callable report', 'callable code', 'toarray', 'problem', 'staticimage']","['array callable', 'is_callable', 'callable array', 'callable code', 'expect callablestring', 'callablestring', 'detect callable', 'expect output', 'callable expect', 'array pass']","https://github.com/phpstan/phpstan/issues/3616
https://github.com/phpstan/phpstan/issues/3369
https://github.com/phpstan/phpstan/issues/3646
https://github.com/phpstan/phpstan/issues/3883
https://github.com/phpstan/phpstan/issues/4228",21,4,14,0,1,0,,,,,,phpstan/phpstan (48),Handling callables,Errors in handling callables ,Y
88,65,0.004882079015,Inheritance,"['is_subclass_of', 'class', 'bar', 'static', 'static class', 'foo', 'expect', 'is_object', 'expect output', 'is_a']","['is_subclass_of expect', 'is_subclass_of report', 'report is_subclass_of', 'is_subclass_of assume', 'is_subclass_of evaluate', 'is_subclass_of code', 'think is_subclass_of', 'ignore is_subclass_of', 'is_subclass_of', 'error is_subclass_of']","['is_subclass_of', 'subclass', 'innerclass', 'output', 'problem', 'isstatic', 'falsey', 'is_a', 'reproduce', 'positive is_subclass_of']","['is_subclass_of', 'condition is_subclass_of', 'think is_subclass_of', 'is_subclass_of report', 'is_subclass_of evaluate', 'is_subclass_of expect', 'error is_subclass_of', 'is_subclass_of assume', 'is_subclass_of ignore', 'is_subclass_of code']","https://github.com/phpstan/phpstan/issues/6305
https://github.com/wala/WALA/issues/219
https://github.com/soot-oss/soot/issues/1831
https://github.com/phpstan/phpstan/issues/8464
https://github.com/phpstan/phpstan/issues/12873",18,15,28,0,1,0,,,,,,"phpstan/phpstan (59)
wala/WALA (2)
spotbugs/spotbugs (2)
soot-oss/soot (1)
pmd/pmd (1)",Subclassing (Inheritance?),Limitation in (Java) class feature,N
89,25,0.001877722698,Type Inference,"['psalm', 'psalm annotation', 'annotation', 'definition', 'understand', 'vendore annotation', 'vendore', 'use psalm', 'definition psalm', 'psalm vendore']","['psalm error', 'issue psalm', 'report psalm', 'psalm complain', 'psalm template', 'psalm types', 'psalm code', 'psalm annotation', 'use psalm', 'psalm psalm']","['psalm', 'annotation', 'definition', 'vendore', 'noreturn', 'shape', 'define', 'problem', 'tag', 'snippet']","['psalm', 'psalm annotation', 'psalm vendore', 'definition psalm', 'use psalm', 'understand psalm', 'psalm error', 'like psalm', 'report psalm', 'expect output']","https://github.com/phpstan/phpstan/issues/9077
https://github.com/phpstan/phpstan/issues/2876
https://github.com/phpstan/phpstan/issues/9320
https://github.com/phpstan/phpstan/issues/6651
https://github.com/phpstan/phpstan/issues/9424",13,0,9,0,0,0,,,,,,phpstan/phpstan (25),Type inference,Type inference,Y
90,25,0.001877722698,XML,"['simplexmlelement', 'extend simplexmlelement', 'simplexmlelement node', 'simplexmlelement work', 'error simplexmlelement', 'property simplexmlelement', 'simplexml', 'node', 'access', 'property']","['simplexmlelement report', 'simplexmlelement error', 'error simplexmlelement', 'simplexmlelement exist', 'simplexmlelement work', 'simplexmlelement simplexmlelement', 'simplexmlelement accept', 'request simplexmlelement', 'property simplexmlelement', 'simplexmlelement']","['simplexmlelement', 'simplexmlelement node', 'simplexml', 'node', 'access', 'property', 'mixed', 'problem', 'error', 'code']","['simplexmlelement', 'extend simplexmlelement', 'simplexmlelement work', 'property simplexmlelement', 'error simplexmlelement', 'simplexmlelement node', 'simplexmlelement error', 'simplexmlelement accept', 'simplexmlelement exist', 'request simplexmlelement']","https://github.com/phpstan/phpstan/issues/9714
https://github.com/phpstan/phpstan/issues/984
https://github.com/phpstan/phpstan/issues/6020
https://github.com/phpstan/phpstan/issues/2910
https://github.com/phpstan/phpstan/issues/1761",6,4,10,0,0,0,,,,,,"phpstan/phpstan (24)
spotbugs/spotbugs (1)",XML related,XML handling issues,Y
91,427,0.03207150368,Unexpected Results,"['expect', 'report', 'snippet', 'code snippet', 'problem', 'snippet reproduce', 'expect output', 'reproduce problem', 'reproduce', 'output']","['expect output', 'report error', 'problem expect', 'undefined report', 'report define', 'report code', 'error define', 'report undefined', 'define report', 'output error']","['define', 'report', 'undefined', 'output', 'myvar', 'reproduce', 'problem', 'code', 'happy way', 'way']","['define report', 'define code', 'expect output', 'problem expect', 'snippet reproduce', 'output error', 'error define', 'report undefined', 'report define', 'make usage']","https://github.com/phpstan/phpstan/issues/9392
https://github.com/phpstan/phpstan/issues/9491
https://github.com/phpstan/phpstan/issues/6245
https://github.com/phpstan/phpstan/issues/8058
https://github.com/phpstan/phpstan/issues/12373",198,58,123,3,7,0,,,,,,"phpstan/phpstan (413)
facebook/infer (4)
diffblue/cbmc (4)
spotbugs/spotbugs (3)
vitsalis/PyCG (1)
pmd/pmd (1)
scottrogowski/code2flow (1)",False Positive Report,False Positive Report,Y
92,27,0.002027940514,Ternary Operator,"['ternary', 'ternary operator', 'operator', 'condition', 'positive ternary', 'operator condition', 'foo', 'arrayfalse', 'positive', 'checkedarray']","['ternary operator', 'result ternary', 'output ternary', 'positive ternary', 'shorthand ternary', 'ternary', 'operator code', 'operator issue', 'think ternary', 'operator need']","['ternary', 'ternary operator', 'operator', 'foo', 'checkedarray', 'condition', 'array', 'param', 'problem', 'positive']","['ternary', 'ternary operator', 'positive ternary', 'operator condition', 'arrayfalse', 'result ternary', 'param arrayfalse', 'arrayfalse foo', 'array arrayfalse', 'operator code']","https://github.com/phpstan/phpstan/issues/910
https://github.com/phpstan/phpstan/issues/1579
https://github.com/phpstan/phpstan/issues/7686
https://github.com/phpstan/phpstan/issues/3942
https://github.com/phpstan/phpstan/issues/1825",6,6,13,0,0,0,,,,,,"phpstan/phpstan (26)
pmd/pmd (1)",Ternary operator,Limitation in handling ternary operator,Y
93,49,0.003680336488,Type Inference,"['cast', 'stdclass', 'typeassigner', 'value', 'sum', 'mixed', 'expect', 'expect output', 'paramtype', 'sum sum']","['cast error', 'error cast', 'casttype', 'cast condition', 'fix cast', 'strict_types1 report', 'cast report', 'expect output', 'settypenewvalue castto', 'problem expect']","['cast', 'typeassigner', 'makesymbol', 'localsplitter', 'newvalue', 'integer127type', 'integer1type integer127type', 'castto', 'wrong cast', 'stack8']","['typeassigner', 'error cast', 'typeassigner fail', 'castto newvalue', 'typeassigner assign', 'cast condition', 'fix typeassigner', 'localsplitter typeassigner', 'cast error', 'casttype']","https://github.com/phpstan/phpstan/issues/4186
https://github.com/soot-oss/soot/issues/360
https://github.com/soot-oss/SootUp/issues/853
https://github.com/wala/WALA/issues/522
https://github.com/soot-oss/SootUp/issues/1080",14,3,8,0,0,2,,,,,,"phpstan/phpstan (33)
soot-oss/soot (6)
soot-oss/SootUp (4)
wala/WALA (4)
facebook/infer (1)
diffblue/cbmc (1)",Type inference,Type inference (cast),Y
94,42,0.003154574132,Docker,"['docker', 'image', 'docker image', 'debian', 'version', 'run', 'follow information', 'run docker', 'example', 'information version']","['docker command', 'sierra docker', 'command docker', 'run docker', 'dockerfile', 'build docker', 'docker docker', 'debian docker', 'docker image', 'docker rm']","['docker', 'image', 'dockerfile', 'run', 'pro', 'label', 'container', 'error', 'version', 'port']","['docker', 'docker image', 'run docker', 'error label', 'dockerfile', 'label', 'container', 'label error', 'error', 'incorrect report']","https://github.com/facebook/infer/issues/1524
https://github.com/facebook/infer/issues/1079
https://github.com/facebook/infer/issues/1850
https://github.com/facebook/infer/issues/412
https://github.com/facebook/infer/issues/1540",15,0,11,1,0,0,,,,,,"phpstan/phpstan (20)
facebook/infer (17)
diffblue/cbmc (4)
wala/WALA (1)",Docker issues ,Docker issues ,Y
95,42,0.003154574132,setCookie(),"['resource', 'is_resource', 'setcookie', 'session', 'session_start', 'cookie', 'insensitive', 'samesite', 'signature', 'expect']","['setcookie insensitive', 'signature setcookie', 'setcookie report', 'report setcookie', 'setcookie expect', 'setcookie', 'isset_session expect', 'cookie report', 'cookieoption', 'session isset']","['setcookie', 'session', 'session_start', 'cookie', 'insensitive', 'samesite', 'signature', 'isset_session', 'option', 'secure']","['setcookie', 'session', 'session_start', 'cookie', 'isset_session', 'session isset', 'change signature', 'setcookie insensitive', 'setcookie report', 'insecure cookie']","https://github.com/phpstan/phpstan/issues/10171
https://github.com/phpstan/phpstan/issues/2536
https://github.com/phpstan/phpstan/issues/4430
https://github.com/phpstan/phpstan/issues/4348
https://github.com/phpstan/phpstan/issues/4586",26,7,9,0,1,0,,,,,,"phpstan/phpstan (40)
security-code-scan/security-code-scan (2)",set cookie (Unsupported Framework behaviour),Limitation in handling setcookie() method (not sure),Y
96,50,0.003755445396,Unable to summarize a topic,"['fail load', 'jbmc', 'load fail', 'jbco', 'bb', 'load', 'fail', 'block', 'standard note', 'local']","['jbco_riitcb', 'wjtp jbco_blbc', 'issue jbmc', 'jbco_ctbcb', 'jbco_ecvf', 'jbco_dcc', 'bb jbco_riitcb', 'jbco_iii', 'jbco_plvb', 'bb jbco_dcc']","['fail load', 'jbmc', 'jbco', 'load', 'fail', 'conversion', 'jbmc version', 'assertion', 'transformations', 'version']","['jbmc', 'jbco', 'jbco bb', 'jbco wjtp', 'openjdk regression', 'jbmc version', 'instead jbmc', 'jbco jtp', 'jbmc report', 'issue jbmc']","https://github.com/diffblue/cbmc/issues/8428
https://github.com/soot-oss/soot/issues/186
https://github.com/diffblue/cbmc/issues/8263
https://github.com/diffblue/cbmc/issues/8569
https://github.com/diffblue/cbmc/issues/6178",5,14,2,0,3,1,,,,,,"diffblue/cbmc (25)
soot-oss/soot (15)
wala/WALA (6)
facebook/infer (2)
spotbugs/spotbugs (1)
yanniss/doop-deprecated (1)",Unable to summarize a topic,Unable to summarize a topic,Y
97,135,0.01013970257,Unable to summarize a topic,"['10 43', '43 07', 'runne build', '07 runne', 'runne', '43', 'build 10', '07', 'file line', 'thread']","['error worker', 'thread error', 'worker thread', 'exception thread', 'fail error', 'crash error', 'execution fail', 'runtime crash', 'thread execution', 'fail fail']","['thread', 'worker', 'execution', 'exception', 'fail', 'crash', 'unexpected integer1type', 'analysis', 'integer1type', 'backward analysis']","['thread execution', 'exception thread', 'worker thread', 'execution fail', 'error worker', 'thread error', 'error backward', 'fail fail', 'app runinfoflow', 'runinfoflow']","https://github.com/soot-oss/soot/issues/370
https://github.com/facebook/infer/issues/563
https://github.com/soot-oss/soot/issues/2024
https://github.com/soot-oss/soot/issues/1279
https://github.com/soot-oss/soot/issues/1989",14,16,13,1,10,3,,,,,,"soot-oss/soot (43)
soot-oss/SootUp (24)
wala/WALA (16)
secure-software-engineering/FlowDroid (12)
spotbugs/spotbugs (9)
phpstan/phpstan (7)
pmd/pmd (6)
facebook/infer (6)
vitsalis/PyCG (3)
yanniss/doop-deprecated (2)
diffblue/cbmc (2)
opalj/opal (1)
scottrogowski/code2flow (1)
arguslab/Argus-SAF (1)
security-code-scan/security-code-scan (1)
plast-lab/doop (1)",Unable to summarize a topic (Various exceptions),Worker thread error (not sure about this),Y
